Los Misterios de la Abadía;Alys Clare;Planeta;null;null;null;null;2008-3-3;
Superar el Estrés;Alix Kirsta;Integral;null;null;null;null;2008-3-3;
El Retorno Cátaro;Jorge Molist;M. Roca;null;null;null;null;2008-3-3;
El Anillo;Jorge Molist;M. Roca;null;null;null;null;2008-3-3;
El Médico del Emperador;Tessa Korber;Ediciones B;null;null;null;null;2008-3-3;
Los Enclaves Templarios;Juan G. Atienza;Booket;null;null;null;null;1999-12-31;
¡ Puedo Adelgazar!;Susana Moreneo;Booket;null;null;null;null;1999-12-31;
Las Cinco Personas que Encontraras en el cielo;Mitch Albon;Maeva;null;null;null;null;1999-12-31;
El Pintor de Batallas;Arturo Pérez Reverte;Alfaguara;null;null;null;null;1999-12-31;
El Amante de Lady Chatherley;D.H. Lawrence;Alianza Editorial;null;null;null;null;1999-12-31;
Una Vida;Guy Maupassant;De Bolsillo;null;null;null;null;1999-12-31;
La Conjura;David Liss;De Bolsillo;null;null;null;null;1999-12-31;
La Casa;Danielle Stell;Plaza y Janez;null;null;null;null;1999-12-31;
Anticáncer-una Nueva Forma de Vida;Dr. David Servan-Schrever;Espasa;null;null;null;null;1999-12-31;
C. Cervera La Baronesa;Teo Lozano y Goya Ruiz;Temas de Hoy;null;null;null;null;1999-12-31;
La Cocina de Saber Vivir;Sergio Fernández Luque;Saber Vivir;null;null;null;null;1999-12-31;
Para que no te Enferme el Corazón;Dr. Alfonso Castro Beiras;Saber Vivir;null;null;null;null;1999-12-31;
El Juego del Ángel;Carlos Ruiz Zafón;Planeta;null;null;null;null;1999-12-31;
El Ritual de las doncellas;José Calvo Poyato;Plaza y Janes;null;null;null;null;1999-12-31;
El Último Judío;Noah Gordon;De Bolsillo;null;null;null;null;1999-12-31;
La Elipse Templaría;Abel Caballero;Planeta;null;null;null;null;1999-12-31;
El Asombroso Viaje de Pomponio Flato;Eduardo Mendoza;Seix Barral;null;null;null;null;1999-12-31;
El Laberinto de la rosa;Titania Hardie;Suma;null;null;null;null;1999-12-31;
Ricas y Famosas;Pilar Eyre;La Esfera;null;null;null;null;2008-9-7;
Arkatz Fantastikoa;Joles Sennell;Elka Parkean;null;null;null;null;2008-9-7;
Errusika;María Asun Landa Etxebeste;Elka Parkean;null;null;null;null;2008-9-7;
Julieta Romeo eta Saguak;María Asun Landa Etxebeste;Elka Parkean;null;null;null;null;2008-9-7;
Hilobi Hutsalen Misterioak;Stefan Wolf;Susaeta;null;null;null;null;2008-9-7;
Con la Cabeza a Pájaros;José Antonio del Cañizo;SM;null;null;null;null;2008-9-7;
Cucho;José Luis Olaizola;SM;null;null;null;null;2008-9-7;
Abuelita opalina;María Puncel;SM;null;null;null;null;2008-9-7;
Un Solo Clarinete;Fernando Almena;SM;null;null;null;null;2008-9-7;
El Tercer Reich;H. S. Hegner;Circulo Lectores;null;null;null;null;2008-9-7;
Chis y Garabís;Paloma Bordons;SM;null;null;null;null;2008-1-9;
La Hormiga Higa se Desmiga;Emeli Teixidor;SM;null;null;null;null;2008-1-9;
Ikustezinak;R.L. Stine;Ediciones B;null;null;null;null;2008-1-9;
Begigorritarren Erlojua;Yolanda Arrieta Malaxetxebarria;SM;null;null;null;null;2008-1-9;
Bihotz Ausarta;Joanes Urkixo;Alfaguara;null;null;null;null;2008-1-9;
La Noria de Morit;Mira Lobe;Circulo Lectores;null;null;null;null;2008-1-9;
Kiatoski y el Caso de Tiovivo Azul;Jürgen Banscherus;SM;null;null;null;null;2008-1-9;
Augusto eta Agustina Pailazoak;Otfried Preussler;SM;null;null;null;null;2008-1-9;
Sam-en Altxorra;Mª Teresa Aretzaga;Edebé-Giltza;null;null;null;null;2008-1-9;
